Representation,Fitness,Best fitness,Generation,Last improved geneneration,Xo prob,Mut prob,Selection,Crossover,Mutation,Generations,Elitism,Tolerance
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,173,0,9.90000000000008e-155,118425.03416799741,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,174,0,9.90000000000008e-156,130267.53758479716,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,175,0,9.900000000000081e-157,143294.29134327688,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,176,0,9.900000000000082e-158,157623.7204776046,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,177,0,9.900000000000083e-159,173386.09252536506,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,178,0,9.900000000000084e-160,190724.7017779016,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,179,0,9.900000000000085e-161,209797.17195569177,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,180,0,9.900000000000085e-162,230776.88915126096,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,181,0,9.900000000000086e-163,253854.57806638707,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,182,0,9.900000000000086e-164,279240.0358730258,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
"[[12, 8, 6, 7, 3, 2, 10, 9], [1, 4, 11, 5, 13, 15, 14, 16], [], []]",9332,9332,183,0,9.900000000000087e-165,307164.03946032835,sigma_scaling_selection,order_crossover,inversion_mutation,200,1,20
